Make,Model,Vehicle Class,Transmission,Fuel Type,Engine Size(L),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km)
3,1461,13,25,4,0.44000000000000006,0.6181818181818182,407.0
3,1461,13,4,4,0.5733333333333334,0.4863636363636364,347.0
3,1461,13,25,4,0.5733333333333334,0.6227272727272728,409.0
3,1518,10,4,4,0.44000000000000006,0.41818181818181827,306.0
3,1519,10,4,4,0.44000000000000006,0.4227272727272728,308.0
3,1522,2,17,4,0.41333333333333333,0.3818181818181819,293.0
3,1580,0,4,4,0.28,0.33181818181818185,262.0
3,1580,0,25,4,0.28,0.37727272727272737,285.0
3,1582,10,4,4,0.28,0.33181818181818185,262.0
3,1582,10,25,4,0.28,0.37727272727272737,285.0
3,1583,10,4,4,0.28,0.3409090909090909,267.0
3,1589,2,4,4,0.41333333333333333,0.3681818181818182,281.0
3,1606,2,4,4,0.41333333333333333,0.3681818181818182,281.0
3,1608,2,17,4,0.41333333333333333,0.39545454545454556,300.0
3,1690,11,17,4,0.28,0.39090909090909093,292.0
3,1804,10,3,4,0.14666666666666667,0.2272727272727273,209.0
3,1806,13,3,4,0.14666666666666667,0.2272727272727273,209.0
3,1811,10,3,4,0.14666666666666667,0.2818181818181819,237.0
3,1813,13,3,4,0.14666666666666667,0.2818181818181819,237.0
4,525,10,17,4,0.41333333333333333,0.4227272727272728,314.0
4,525,10,17,4,0.68,0.5181818181818183,356.0
4,529,10,17,4,0.41333333333333333,0.45909090909090905,332.0
4,529,10,17,4,0.68,0.5636363636363637,380.0
4,527,10,17,4,0.68,0.5636363636363637,380.0
4,904,2,17,4,0.68,0.5636363636363637,388.0
4,1261,2,17,4,0.7133333333333334,0.6499999999999999,409.5
5,54,0,5,4,0.14666666666666667,0.1954545454545455,193.0
5,54,0,25,4,0.14666666666666667,0.2090909090909091,200.0
5,56,0,5,4,0.14666666666666667,0.21363636363636368,202.0
5,58,0,5,0,0.14666666666666667,0.11818181818181822,181.0
5,60,9,5,0,0.14666666666666667,0.11818181818181822,181.0
5,61,0,5,4,0.14666666666666667,0.1954545454545455,193.0
5,61,0,25,4,0.14666666666666667,0.2090909090909091,200.0
5,63,0,5,4,0.14666666666666667,0.2272727272727273,209.0
5,64,1,5,4,0.14666666666666667,0.2272727272727273,209.0
5,66,9,5,4,0.14666666666666667,0.2272727272727273,209.0
5,74,0,5,4,0.28,0.25,221.0
5,74,0,25,4,0.28,0.26818181818181824,230.0
5,76,0,5,4,0.28,0.26363636363636367,228.0
5,76,0,25,4,0.28,0.2818181818181819,237.0
5,77,1,5,4,0.28,0.27272727272727276,232.0
5,87,0,5,4,0.14666666666666667,0.1954545454545455,193.0
5,87,0,25,4,0.14666666666666667,0.2090909090909091,200.0
5,90,0,5,4,0.14666666666666667,0.2272727272727273,209.0
5,100,0,5,4,0.28,0.25,221.0
5,100,0,25,4,0.28,0.26818181818181824,230.0
5,103,0,5,4,0.28,0.26363636363636367,228.0
5,103,0,25,4,0.28,0.2818181818181819,237.0
5,135,2,5,4,0.14666666666666667,0.21363636363636368,202.0
5,137,2,5,4,0.14666666666666667,0.2272727272727273,209.0
5,142,2,5,0,0.28,0.17272727272727278,213.0
5,144,2,5,4,0.28,0.27272727272727276,232.0
5,145,1,5,4,0.28,0.3,246.0
5,150,2,5,4,0.4666666666666667,0.3681818181818182,281.0
5,151,1,5,4,0.4666666666666667,0.39090909090909093,292.0
5,154,0,5,4,0.28,0.27272727272727276,232.0
5,158,10,5,4,0.4666666666666667,0.39090909090909093,292.0
5,159,0,5,4,0.4666666666666667,0.3681818181818182,281.0
5,160,0,5,4,0.4666666666666667,0.39090909090909093,292.0
5,163,1,5,4,0.28,0.3,246.0
5,169,1,5,4,0.4666666666666667,0.39090909090909093,292.0
5,165,1,5,4,0.4666666666666667,0.39090909090909093,292.0
5,174,1,5,4,0.68,0.5181818181818183,356.0
5,269,0,5,4,0.28,0.19090909090909097,191.0
5,270,2,5,4,0.28,0.23636363636363644,214.0
5,271,1,5,4,0.28,0.2318181818181818,212.0
5,275,1,5,4,0.4666666666666667,0.39090909090909093,292.0
5,276,1,5,4,0.4666666666666667,0.39090909090909093,292.0
5,1186,2,9,4,0.4666666666666667,0.48181818181818187,338.0
5,1186,2,25,4,0.4666666666666667,0.440909090909091,317.0
5,1193,0,9,4,0.4666666666666667,0.48181818181818187,338.0
5,1193,0,25,4,0.4666666666666667,0.440909090909091,317.0
5,1194,10,9,4,0.4666666666666667,0.48181818181818187,338.0
5,1194,10,25,4,0.4666666666666667,0.440909090909091,317.0
5,1196,0,9,4,0.4666666666666667,0.48181818181818187,338.0
5,1196,0,25,4,0.4666666666666667,0.440909090909091,317.0
5,1913,11,5,4,0.14666666666666667,0.2272727272727273,209.0
5,1914,11,3,4,0.28,0.3272727272727273,260.0
5,1923,11,5,4,0.14666666666666667,0.26818181818181824,230.0
5,1925,11,5,4,0.28,0.31363636363636366,253.0
5,1936,12,5,4,0.28,0.3181818181818182,255.0
5,1937,12,5,4,0.4666666666666667,0.4454545454545455,320.0
5,1940,12,3,4,0.4666666666666667,0.5454545454545456,370.0
5,1942,12,5,4,0.28,0.35454545454545455,274.0
5,1943,12,5,4,0.4666666666666667,0.45454545454545453,324.0
5,2044,13,5,4,0.14666666666666667,0.2272727272727273,209.0
5,2044,13,25,4,0.14666666666666667,0.2090909090909091,200.0
5,2045,13,9,4,0.28,0.3636363636363637,278.0
5,2045,13,25,4,0.28,0.31363636363636366,253.0
5,2046,13,9,4,0.28,0.3636363636363637,278.0
7,766,12,3,3,0.36,0.37272727272727285,283.0
7,767,12,3,3,0.36,0.3863636363636364,290.0
7,768,11,15,3,0.06666666666666665,0.2,196.0
7,772,11,15,3,0.06666666666666665,0.2318181818181818,212.0
7,1123,2,15,3,0.36,0.33636363636363636,264.0
7,1123,2,15,1,0.36,0.5227272727272727,250.0
7,1124,2,15,3,0.36,0.33636363636363636,264.0
7,1124,2,15,1,0.36,0.5636363636363637,264.0
7,1127,2,15,3,0.2,0.18636363636363634,189.0
7,1501,2,15,4,0.14666666666666667,0.26363636363636367,228.0
7,1501,2,25,4,0.14666666666666667,0.25909090909090915,225.0
7,1502,2,15,4,0.14666666666666667,0.3,246.0
7,1503,2,15,3,0.2,0.18636363636363634,189.0
7,1879,0,15,4,0.14666666666666667,0.26363636363636367,228.0
7,1879,0,25,4,0.14666666666666667,0.25909090909090915,225.0
7,1879,0,15,3,0.2,0.24545454545454548,218.0
8,360,0,15,4,0.14666666666666667,0.25,221.0
8,360,0,25,4,0.14666666666666667,0.2772727272727273,235.0
8,360,0,15,3,0.21333333333333332,0.22272727272727277,207.0
8,360,0,15,3,0.36,0.30909090909090914,251.0
8,361,0,15,4,0.14666666666666667,0.27272727272727276,232.0
8,361,0,15,3,0.36,0.3272727272727273,260.0
8,585,2,15,3,0.36,0.3227272727272727,258.0
8,586,2,15,3,0.36,0.33181818181818185,262.0
8,587,2,15,4,0.14666666666666667,0.27272727272727276,232.0
8,587,2,17,3,0.36,0.3045454545454546,248.0
8,588,2,15,4,0.14666666666666667,0.3045454545454546,248.0
8,588,2,15,3,0.36,0.3272727272727273,260.0
8,589,2,17,4,0.36,0.39545454545454556,294.0
8,590,9,15,3,0.28,0.31363636363636366,253.0
8,590,9,15,3,0.36,0.3272727272727273,260.0
8,591,9,15,3,0.28,0.3181818181818182,255.0
8,591,9,15,3,0.36,0.33181818181818185,262.0
8,594,2,15,4,0.7066666666666667,0.5681818181818183,382.0
8,594,2,25,4,0.7066666666666667,0.4863636363636364,340.0
8,595,2,15,4,0.7066666666666667,0.5681818181818183,382.0
8,595,2,25,4,0.7066666666666667,0.4863636363636364,340.0
8,596,9,15,4,0.7066666666666667,0.5681818181818183,382.0
8,596,9,25,4,0.7066666666666667,0.4863636363636364,340.0
8,789,12,3,4,0.7066666666666667,0.48181818181818187,338.0
8,789,12,3,1,0.7066666666666667,0.6499999999999999,322.0
8,791,12,3,4,0.7066666666666667,0.5590909090909091,377.0
8,791,12,3,1,0.7066666666666667,0.6499999999999999,354.0
8,1692,12,15,3,0.36,0.37272727272727285,283.0
8,1693,12,15,3,0.36,0.39545454545454556,294.0
8,2012,1,15,3,0.36,0.33181818181818185,262.0
8,2013,1,15,3,0.36,0.35000000000000003,271.0
8,2014,1,15,4,0.36,0.3863636363636364,290.0
9,439,0,15,3,0.36,0.3227272727272727,258.0
9,439,0,25,3,0.36,0.3454545454545454,269.0
9,440,0,15,3,0.36,0.29090909090909095,242.0
9,441,0,15,4,0.7066666666666667,0.39545454545454556,294.0
9,441,0,25,4,0.7066666666666667,0.39090909090909093,292.0
9,443,0,15,4,0.7066666666666667,0.5681818181818183,382.0
9,443,0,25,4,0.7066666666666667,0.4863636363636364,340.0
9,556,13,15,4,0.7066666666666667,0.35909090909090907,276.0
9,556,13,26,4,0.7066666666666667,0.3227272727272727,258.0
9,563,2,15,3,0.06666666666666665,0.1681818181818182,179.0
9,563,2,25,3,0.06666666666666665,0.1681818181818182,179.0
9,563,2,15,3,0.12,0.21363636363636368,202.0
9,563,2,25,3,0.12,0.18636363636363634,189.0
9,564,2,15,0,0.14666666666666667,0.13636363636363635,192.0
9,565,2,3,3,0.06666666666666665,0.1636363636363637,177.0
9,565,2,25,3,0.06666666666666665,0.13636363636363635,163.0
9,780,11,3,3,0.2,0.2272727272727273,209.0
9,780,11,3,3,0.36,0.35909090909090907,276.0
9,780,11,3,1,0.36,0.55,259.0
9,781,11,3,3,0.2,0.26818181818181824,230.0
9,781,11,3,3,0.36,0.3863636363636364,290.0
9,781,11,3,1,0.36,0.5863636363636364,272.0
9,804,14,1,3,0.45333333333333325,0.5,347.0
9,804,14,1,3,0.5866666666666667,0.5363636363636364,366.0
9,804,14,1,1,0.5866666666666667,0.6499999999999999,334.0
9,805,14,1,3,0.5866666666666667,0.5636363636363637,380.0
9,805,14,1,1,0.5866666666666667,0.6499999999999999,344.0
9,806,14,1,3,0.5866666666666667,0.5636363636363637,380.0
9,806,14,1,1,0.5866666666666667,0.6499999999999999,344.0
9,807,14,1,3,0.5866666666666667,0.5636363636363637,380.0
9,807,14,1,1,0.5866666666666667,0.6499999999999999,362.0
9,808,15,1,3,0.5866666666666667,0.5636363636363637,380.0
9,808,15,1,1,0.5866666666666667,0.6499999999999999,344.0
9,809,15,1,3,0.5866666666666667,0.5636363636363637,380.0
9,809,15,1,1,0.5866666666666667,0.6499999999999999,362.0
9,810,15,3,3,0.52,0.6318181818181818,409.5
9,810,15,3,3,0.68,0.6499999999999999,409.5
9,810,15,3,1,0.68,0.6499999999999999,409.5
9,812,15,3,3,0.52,0.6409090909090909,409.5
9,812,15,3,3,0.68,0.6499999999999999,409.5
9,812,15,3,1,0.68,0.6499999999999999,409.5
9,1059,1,15,3,0.21333333333333332,0.25,221.0
9,1059,1,15,3,0.36,0.29545454545454547,244.0
9,1059,1,15,1,0.36,0.4636363636363637,229.0
9,1061,1,15,3,0.2,0.2090909090909091,200.0
9,1215,2,15,4,0.14666666666666667,0.26363636363636367,228.0
9,1215,2,15,3,0.21333333333333332,0.1772727272727273,184.0
9,1331,11,15,3,0.2,0.29545454545454547,244.0
9,1331,11,25,3,0.2,0.2772727272727273,235.0
9,1651,6,3,3,0.45333333333333325,0.35000000000000003,271.0
9,1651,6,3,1,0.45333333333333325,0.5772727272727274,269.0
9,1651,6,3,3,0.5866666666666667,0.39090909090909093,292.0
9,1651,6,3,1,0.5866666666666667,0.5818181818181818,270.0
9,1651,6,3,4,0.7066666666666667,0.45454545454545453,324.0
9,1652,6,3,3,0.45333333333333325,0.3863636363636364,290.0
9,1652,6,3,1,0.45333333333333325,0.6227272727272728,285.0
9,1652,6,3,3,0.5866666666666667,0.4045454545454546,299.0
9,1652,6,3,1,0.5866666666666667,0.6000000000000001,277.0
9,1652,6,3,4,0.7066666666666667,0.4636363636363637,329.0
9,1675,0,15,3,0.06666666666666665,0.1772727272727273,184.0
9,1675,0,25,3,0.06666666666666665,0.1545454545454546,173.0
9,1675,0,15,3,0.12,0.19090909090909097,191.0
9,1675,0,24,3,0.12,0.17272727272727278,182.0
9,1678,0,15,3,0.06666666666666665,0.19090909090909097,191.0
9,1678,0,25,3,0.06666666666666665,0.1772727272727273,184.0
9,1676,2,15,3,0.06666666666666665,0.1772727272727273,184.0
9,1676,2,25,3,0.06666666666666665,0.1545454545454546,172.0
9,1676,2,15,3,0.12,0.19090909090909097,191.0
9,1676,2,24,3,0.12,0.17272727272727278,182.0
9,1677,2,15,3,0.06666666666666665,0.19090909090909097,191.0
9,1677,2,25,3,0.06666666666666665,0.1772727272727273,184.0
9,1687,10,19,3,0.04000000000000001,0.12727272727272732,159.0
9,1687,10,24,3,0.04000000000000001,0.12727272727272732,159.0
9,1697,12,3,3,0.5866666666666667,0.440909090909091,317.0
9,1697,12,3,1,0.5866666666666667,0.6499999999999999,294.0
9,1698,12,3,3,0.5866666666666667,0.440909090909091,317.0
9,1698,12,3,1,0.5866666666666667,0.6499999999999999,294.0
9,1762,12,3,3,0.5866666666666667,0.440909090909091,317.0
9,1762,12,3,1,0.5866666666666667,0.6499999999999999,294.0
9,1763,12,3,3,0.5866666666666667,0.440909090909091,317.0
9,1763,12,3,1,0.5866666666666667,0.6499999999999999,294.0
9,1797,12,3,3,0.36,0.37272727272727285,283.0
9,1798,12,3,3,0.36,0.3863636363636364,290.0
9,1799,11,15,3,0.06666666666666665,0.1954545454545455,193.0
9,1799,11,25,3,0.06666666666666665,0.18181818181818182,186.0
9,1801,11,15,3,0.06666666666666665,0.22272727272727277,207.0
10,47,1,5,3,0.36,0.2818181818181819,237.0
10,28,0,1,3,0.2,0.27272727272727276,232.0
10,28,0,3,3,0.2,0.3,246.0
10,29,0,3,3,0.36,0.29090909090909095,242.0
10,29,0,3,1,0.36,0.4681818181818182,230.0
10,31,2,1,3,0.2,0.25909090909090915,225.0
10,31,2,3,3,0.2,0.26818181818181824,230.0
10,32,2,3,3,0.36,0.29090909090909095,242.0
10,32,2,3,1,0.36,0.4681818181818182,230.0
10,48,1,2,3,0.64,0.39545454545454556,294.0
10,49,1,5,3,0.36,0.30909090909090914,251.0
10,50,1,2,3,0.64,0.4227272727272728,308.0
10,51,1,5,3,0.36,0.30909090909090914,251.0
10,51,1,5,1,0.36,0.4863636363636364,237.0
10,52,1,5,3,0.36,0.2818181818181819,237.0
10,52,1,5,1,0.36,0.4454545454545455,222.0
10,53,1,2,4,0.7133333333333334,0.440909090909091,317.0
10,1787,4,3,3,0.36,0.35909090909090907,276.0
10,1787,4,3,1,0.36,0.5772727272727274,269.0
11,364,2,1,3,0.2,0.25909090909090915,225.0
11,364,2,3,3,0.2,0.26818181818181824,230.0
11,365,2,3,3,0.36,0.29090909090909095,242.0
11,365,2,3,1,0.36,0.4681818181818182,230.0
11,467,2,2,3,0.36,0.3227272727272727,258.0
11,467,2,25,3,0.64,0.4090909090909091,301.0
11,468,2,2,3,0.64,0.39545454545454556,294.0
11,472,2,25,4,0.7133333333333334,0.4454545454545455,320.0
11,473,2,2,4,0.7133333333333334,0.440909090909091,317.0
11,476,1,2,3,0.36,0.3227272727272727,258.0
11,476,1,5,3,0.36,0.2818181818181819,237.0
11,477,1,2,3,0.64,0.39545454545454556,294.0
11,478,1,5,3,0.36,0.30909090909090914,251.0
11,479,1,2,3,0.64,0.4227272727272728,308.0
11,480,1,5,3,0.36,0.30909090909090914,251.0
11,480,1,5,1,0.36,0.4863636363636364,237.0
11,481,1,2,3,0.36,0.3227272727272727,258.0
11,481,1,2,1,0.36,0.5272727272727273,251.0
11,481,1,5,3,0.36,0.2772727272727273,235.0
11,481,1,5,1,0.36,0.4454545454545455,222.0
11,482,1,2,4,0.7133333333333334,0.440909090909091,317.0
11,700,2,25,3,0.14666666666666667,0.18181818181818182,186.0
11,700,2,3,3,0.2,0.20454545454545459,198.0
11,700,2,25,3,0.2,0.21363636363636368,202.0
11,701,2,3,3,0.14666666666666667,0.20454545454545459,198.0
11,701,2,3,1,0.14666666666666667,0.3681818181818182,195.0
11,702,2,3,3,0.2,0.2318181818181818,212.0
11,702,2,25,3,0.2,0.21363636363636368,202.0
11,703,2,8,3,0.06666666666666665,0.1454545454545455,168.0
11,703,2,25,3,0.06666666666666665,0.1454545454545455,168.0
11,713,12,5,3,0.64,0.4681818181818182,331.0
11,714,12,5,3,0.36,0.3636363636363637,278.0
11,714,12,5,1,0.36,0.5227272727272727,250.0
11,989,4,3,3,0.36,0.35000000000000003,271.0
11,989,4,3,1,0.36,0.5636363636363637,264.0
11,1100,11,1,3,0.2,0.3181818181818182,255.0
11,1101,11,3,3,0.36,0.37727272727272737,285.0
11,1102,11,3,3,0.36,0.35909090909090907,276.0
11,1102,11,3,1,0.36,0.55,259.0
12,125,3,24,3,0.06666666666666665,0.1681818181818182,179.0
12,126,3,24,3,0.06666666666666665,0.1681818181818182,179.0
12,127,3,3,3,0.06666666666666665,0.17272727272727278,182.0
12,127,3,24,3,0.06666666666666665,0.14090909090909093,166.0
12,128,3,24,3,0.06666666666666665,0.1681818181818182,179.0
12,129,3,3,3,0.06666666666666665,0.17272727272727278,182.0
12,129,3,24,3,0.06666666666666665,0.12272727272727274,156.0
12,130,3,24,3,0.06666666666666665,0.1681818181818182,179.0
12,132,9,8,3,0.06666666666666665,0.2090909090909091,200.0
12,132,9,25,3,0.06666666666666665,0.1954545454545455,193.0
13,437,1,19,3,0.14666666666666667,0.08636363636363636,138.0
13,751,14,1,3,0.4933333333333333,0.55,373.0
13,751,14,1,1,0.4933333333333333,0.6499999999999999,350.0
13,751,14,1,3,0.6000000000000001,0.5954545454545455,396.0
13,751,14,1,1,0.6000000000000001,0.6499999999999999,360.0
13,752,15,1,3,0.4933333333333333,0.5772727272727274,386.0
13,752,15,1,1,0.4933333333333333,0.6499999999999999,368.0
13,753,15,2,3,0.7133333333333334,0.6499999999999999,409.5
13,754,15,1,3,0.6000000000000001,0.6454545454545455,409.5
13,754,15,1,1,0.6000000000000001,0.6499999999999999,382.0
13,759,11,3,3,0.14666666666666667,0.25909090909090915,225.0
13,759,11,15,3,0.3466666666666667,0.3045454545454546,248.0
13,761,11,15,3,0.3466666666666667,0.33636363636363636,264.0
13,761,11,15,3,0.37333333333333335,0.3681818181818182,281.0
13,792,11,15,3,0.09333333333333335,0.2272727272727273,209.0
13,792,11,15,3,0.14666666666666667,0.25,221.0
13,792,11,15,3,0.21333333333333332,0.24090909090909096,216.0
13,793,11,15,3,0.09333333333333335,0.23636363636363644,214.0
13,793,11,15,3,0.14666666666666667,0.26818181818181824,230.0
13,796,12,3,3,0.6000000000000001,0.540909090909091,368.0
13,796,12,3,1,0.6000000000000001,0.6499999999999999,346.0
13,799,12,3,3,0.14666666666666667,0.2772727272727273,235.0
13,800,12,15,3,0.3466666666666667,0.4045454545454546,299.0
13,802,12,15,3,0.3466666666666667,0.35454545454545455,274.0
13,802,12,15,1,0.3466666666666667,0.5363636363636364,254.0
13,803,12,15,3,0.3466666666666667,0.3818181818181819,288.0
13,803,12,15,1,0.3466666666666667,0.5727272727272728,267.0
13,843,6,3,3,0.3466666666666667,0.39090909090909093,292.0
13,843,6,15,3,0.3466666666666667,0.39545454545454556,294.0
13,843,6,15,3,0.7066666666666667,0.5363636363636364,366.0
13,846,6,3,3,0.3466666666666667,0.440909090909091,317.0
13,846,6,15,3,0.3466666666666667,0.4227272727272728,308.0
13,846,6,15,3,0.7066666666666667,0.6090909090909091,402.0
13,851,6,3,3,0.37333333333333335,0.37272727272727285,283.0
13,851,6,3,1,0.37333333333333335,0.5636363636363637,264.0
13,851,6,15,3,0.37333333333333335,0.37272727272727285,283.0
13,851,6,15,1,0.37333333333333335,0.5636363636363637,264.0
13,851,6,3,3,0.5466666666666666,0.47727272727272735,336.0
13,851,6,3,1,0.5466666666666666,0.6499999999999999,315.0
13,851,6,15,3,0.5466666666666666,0.47727272727272735,336.0
13,851,6,15,1,0.5466666666666666,0.6499999999999999,315.0
13,854,6,3,3,0.37333333333333335,0.4227272727272728,308.0
13,854,6,3,1,0.37333333333333335,0.6318181818181818,288.0
13,854,6,15,3,0.37333333333333335,0.4227272727272728,308.0
13,854,6,15,1,0.37333333333333335,0.6318181818181818,288.0
13,854,6,3,3,0.5466666666666666,0.490909090909091,343.0
13,854,6,3,1,0.5466666666666666,0.6499999999999999,320.0
13,854,6,15,3,0.5466666666666666,0.4863636363636364,340.0
13,854,6,15,1,0.5466666666666666,0.6499999999999999,318.0
13,858,6,15,3,0.7066666666666667,0.6318181818181818,409.5
13,895,10,15,3,0.09333333333333335,0.15909090909090912,175.0
13,895,10,24,3,0.09333333333333335,0.15909090909090912,175.0
13,896,10,24,3,0.013333333333333336,0.11363636363636365,152.0
13,896,10,15,3,0.09333333333333335,0.13181818181818183,161.0
13,897,0,25,3,0.09333333333333335,0.1772727272727273,184.0
13,900,12,15,3,0.3466666666666667,0.33636363636363636,264.0
13,901,12,15,3,0.3466666666666667,0.3636363636363637,278.0
13,902,12,15,3,0.3466666666666667,0.39545454545454556,294.0
13,905,0,25,3,0.14666666666666667,0.21818181818181825,205.0
13,907,0,3,3,0.14666666666666667,0.1636363636363637,177.0
13,907,0,3,1,0.14666666666666667,0.2818181818181819,165.0
13,907,0,15,3,0.14666666666666667,0.1681818181818182,179.0
13,907,0,15,1,0.14666666666666667,0.2818181818181819,165.0
13,907,0,24,3,0.14666666666666667,0.1772727272727273,184.0
13,907,0,24,1,0.14666666666666667,0.29545454545454547,170.0
13,909,0,3,3,0.14666666666666667,0.14090909090909093,166.0
13,909,0,3,1,0.14666666666666667,0.27272727272727276,162.0
13,922,2,15,3,0.08000000000000002,0.2,196.0
13,922,2,25,3,0.09333333333333335,0.18181818181818182,186.0
13,922,2,15,3,0.14666666666666667,0.22272727272727277,207.0
13,922,2,15,3,0.21333333333333332,0.21818181818181825,205.0
13,923,2,15,3,0.08000000000000002,0.18181818181818182,186.0
13,924,2,15,3,0.14666666666666667,0.24090909090909096,216.0
13,925,2,19,3,0.14666666666666667,0.06363636363636366,126.0
13,1265,10,3,3,0.37333333333333335,0.2772727272727273,235.0
13,1265,10,25,3,0.37333333333333335,0.29545454545454547,244.0
13,1265,10,3,3,0.5466666666666666,0.33636363636363636,264.0
13,1265,10,25,3,0.5466666666666666,0.39090909090909093,292.0
13,1265,10,25,4,0.6533333333333333,0.41363636363636364,304.0
13,1267,10,3,3,0.37333333333333335,0.29545454545454547,244.0
13,1766,1,15,3,0.14666666666666667,0.2272727272727273,209.0
13,1767,1,15,3,0.3466666666666667,0.35000000000000003,271.0
13,1768,1,15,3,0.3466666666666667,0.2818181818181819,237.0
13,1768,1,15,1,0.3466666666666667,0.4636363636363637,229.0
13,1769,1,15,3,0.3466666666666667,0.3227272727272727,258.0
13,1769,1,15,1,0.3466666666666667,0.5272727272727273,251.0
13,1788,7,15,3,0.09333333333333335,0.24545454545454548,218.0
13,1788,7,15,3,0.21333333333333332,0.26363636363636367,228.0
13,1789,7,15,3,0.09333333333333335,0.27272727272727276,232.0
13,1792,7,15,3,0.21333333333333332,0.28636363636363643,239.0
15,260,12,3,3,0.36,0.37272727272727285,283.0
15,261,12,3,3,0.36,0.4000000000000001,297.0
15,1625,14,1,3,0.45333333333333325,0.5,347.0
15,1625,14,1,3,0.5866666666666667,0.5363636363636364,366.0
15,1625,14,1,1,0.5866666666666667,0.6499999999999999,334.0
15,1626,14,1,3,0.5866666666666667,0.5636363636363637,380.0
15,1626,14,1,1,0.5866666666666667,0.6499999999999999,344.0
15,1627,14,1,3,0.5866666666666667,0.5636363636363637,380.0
15,1627,14,1,1,0.5866666666666667,0.6499999999999999,344.0
15,1628,14,1,3,0.5866666666666667,0.5636363636363637,380.0
15,1628,14,1,1,0.5866666666666667,0.6499999999999999,362.0
15,1629,15,1,3,0.5866666666666667,0.5636363636363637,380.0
15,1629,15,1,1,0.5866666666666667,0.6499999999999999,344.0
15,1630,15,1,3,0.5866666666666667,0.5636363636363637,380.0
15,1630,15,1,1,0.5866666666666667,0.6499999999999999,362.0
15,1631,15,3,3,0.52,0.6318181818181818,409.5
15,1631,15,3,3,0.68,0.6499999999999999,409.5
15,1631,15,3,1,0.68,0.6499999999999999,409.5
15,1633,15,3,3,0.52,0.6409090909090909,409.5
15,1633,15,3,3,0.68,0.6499999999999999,409.5
15,1633,15,3,1,0.68,0.6499999999999999,409.5
15,1645,6,3,3,0.45333333333333325,0.35000000000000003,271.0
15,1645,6,3,1,0.45333333333333325,0.5772727272727274,269.0
15,1645,6,3,3,0.5866666666666667,0.39090909090909093,292.0
